"ID","Key","Name","Is Custom","Is Orderable","Is Navigable","Is Searchable","Clause Names","Schema Type","Schema Items","Schema Custom Type","Schema Custom ID","Schema System"
"customfield_10229","customfield_10229","Freeze Start Date","True","True","True","True","Freeze Start Date[Date], cf[10229], Freeze Start Date","date",,"com.atlassian.jira.plugin.system.customfieldtypes:datepicker","10229",
"customfield_10109","customfield_10109","End Date","True","True","True","True","cf[10109], End Date, End Date[Time stamp]","datetime",,"com.atlassian.jira.plugin.system.customfieldtypes:datetime","10109",
"customfield_11791","customfield_11791","Impact score","True","True","True","True","cf[11791], Impact score, Impact score[Custom formula]","number",,"jira.polaris:formula","11791",
"customfield_11790","customfield_11790","Dependent Teams","True","True","True","True","cf[11790], Dependent Teams, Dependent Teams[Checkboxes]","array","option","com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes","11790",
"customfield_10340","customfield_10340","Rollback Version","True","True","True","True","Rollback Version, Rollback Version[Short text], cf[10340]","string",,"com.atlassian.jira.plugin.system.customfieldtypes:readonlyfield","10340",
"customfield_11793","customfield_11793","Spec ready","True","True","True","True","Spec ready[Checkbox], Spec ready, cf[11793]","number",,"jira.polaris:boolean","11793",
"customfield_10582","customfield_10582","Treasury Approver 1","True","True","True","True","Treasury Approver 1[User Picker (single user)], cf[10582], Treasury Approver 1","user",,"com.atlassian.jira.plugin.system.customfieldtypes:userpicker","10582",
"customfield_10583","customfield_10583","Modeling Accounting Preparer","True","True","True","True","cf[10583], Modeling Accounting Preparer[User Picker (single user)], Modeling Accounting Preparer","user",,"com.atlassian.jira.plugin.system.customfieldtypes:userpicker","10583",
"customfield_10220","customfield_10220","Regulatory/Compliance/Legal","True","True","True","True","Regulatory/Compliance/Legal, Regulatory/Compliance/Legal[Dropdown], cf[10220]","option",,"com.atlassian.jira.plugin.system.customfieldtypes:select","10220",
"customfield_10341","customfield_10341","Health Status Comments","True","True","True","True","Health Status Comments, Health Status Comments[Paragraph], cf[10341]","string",,"com.atlassian.jira.plugin.system.customfieldtypes:textarea","10341",
"customfield_11792","customfield_11792","Customer segments","True","True","True","True","Customer segments[Checkboxes], Customer segments, cf[11792]","array","option","com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes","11792",
"customfield_10100","customfield_10100","Lane","True","True","True","True","Lane, cf[10100], Lane[Dropdown]","option",,"com.atlassian.jira.plugin.system.customfieldtypes:select","10100",
"customfield_10342","customfield_10342","Information","True","True","True","True","cf[10342], Information","string",,"com.atlassian.jira.toolkit:message","10342",
"customfield_11795","customfield_11795","Project start","True","True","True","True","Project start[Interval], cf[11795], Project start","string",,"jira.polaris:interval","11795",
"customfield_10221","customfield_10221","IT Manager","True","True","True","True","IT Manager[User Picker (single user)], cf[10221], IT Manager","user",,"com.atlassian.jira.plugin.system.customfieldtypes:userpicker","10221",
"customfield_10222","customfield_10222","System Manager","True","True","True","True","System Manager, cf[10222], System Manager[User Picker (single user)]","user",,"com.atlassian.jira.plugin.system.customfieldtypes:userpicker","10222",
"customfield_11794","customfield_11794","SARB Approved","True","True","True","True","SARB Approved[Checkbox], cf[11794], SARB Approved","number",,"jira.polaris:boolean","11794",
"customfield_10101","customfield_10101","Scrum Team","True","True","True","True","Scrum Team[Dropdown], cf[10101], Scrum Team","option",,"com.atlassian.jira.plugin.system.customfieldtypes:select","10101",
"customfield_10343","customfield_10343","Engineering Lead","True","True","True","True","Engineering Lead[User Picker (single user)], cf[10343], Engineering Lead","user",,"com.atlassian.jira.plugin.system.customfieldtypes:userpicker","10343",
"customfield_10102","customfield_10102","External Issue ID","True","True","True","True","External Issue ID[Short text], External Issue ID, cf[10102]","string",,"com.atlassian.jira.plugin.system.customfieldtypes:textfield","10102",
"customfield_10344","customfield_10344","Late Add Date Difference","True","True","True","True","Late Add Date Difference, Late Add Date Difference[Number], cf[10344]","number",,"com.atlassian.jira.plugin.system.customfieldtypes:float","10344",
"customfield_10223","customfield_10223","Program Priority","True","True","True","True","Program Priority, cf[10223], Program Priority[Dropdown]","option",,"com.atlassian.jira.plugin.system.customfieldtypes:select","10223",
